scenario_id,case_id,scenario_type,description,important_entities,expected_discovery,difficulty
SCEN_001,CASE_0001,MULTI_HOP_COORDINATION,Hidden 5-hop chain in NET_001 (FLAGSHIP_ABCDE); PERSON_1476 is upstream coordinator.,PERSON_1476;PERSON_0026;PERSON_0397;PERSON_0405;PERSON_1459,Identify upstream coordinator via multi-hop temporal chain,high
SCEN_002,CASE_0001,INFLUENTIAL_PERSON,Role differentiation test in NET_001: coordinator vs broker vs innocent high-degree contact.,PERSON_1476;PERSON_0026;PERSON_0397;PERSON_0405;PERSON_1459,Distinguish influence roles beyond raw degree,medium
SCEN_003,CASE_0002,MULTI_HOP_COORDINATION,Hidden 4-hop chain in NET_002 (PATTERN3_CONVERGENT); PERSON_1104 is upstream coordinator.,PERSON_1104;PERSON_1226;PERSON_0969;PERSON_0809,Identify upstream coordinator via multi-hop temporal chain,high
SCEN_004,CASE_0002,INFLUENTIAL_PERSON,Role differentiation test in NET_002: coordinator vs broker vs innocent high-degree contact.,PERSON_1104;PERSON_1226;PERSON_0969;PERSON_0809,Distinguish influence roles beyond raw degree,medium
SCEN_005,CASE_0003,MULTI_HOP_COORDINATION,Hidden 4-hop chain in NET_003 (PATTERN4_BRANCH); PERSON_0486 is upstream coordinator.,PERSON_0486;PERSON_1343;PERSON_0833;PERSON_1232,Identify upstream coordinator via multi-hop temporal chain,high
SCEN_006,CASE_0003,INFLUENTIAL_PERSON,Role differentiation test in NET_003: coordinator vs broker vs innocent high-degree contact.,PERSON_0486;PERSON_1343;PERSON_0833;PERSON_1232,Distinguish influence roles beyond raw degree,medium
SCEN_007,CASE_0004,MULTI_HOP_COORDINATION,Hidden 4-hop chain in NET_004 (PATTERN3_CONVERGENT); PERSON_1060 is upstream coordinator.,PERSON_1060;PERSON_0720;PERSON_0950;PERSON_0096,Identify upstream coordinator via multi-hop temporal chain,high
SCEN_008,CASE_0004,INFLUENTIAL_PERSON,Role differentiation test in NET_004: coordinator vs broker vs innocent high-degree contact.,PERSON_1060;PERSON_0720;PERSON_0950;PERSON_0096,Distinguish influence roles beyond raw degree,medium
SCEN_009,CASE_0005,MULTI_HOP_COORDINATION,Hidden 4-hop chain in NET_005 (PATTERN4_BRANCH); PERSON_1008 is upstream coordinator.,PERSON_1008;PERSON_0105;PERSON_1002;PERSON_1269,Identify upstream coordinator via multi-hop temporal chain,high
SCEN_010,CASE_0005,INFLUENTIAL_PERSON,Role differentiation test in NET_005: coordinator vs broker vs innocent high-degree contact.,PERSON_1008;PERSON_0105;PERSON_1002;PERSON_1269,Distinguish influence roles beyond raw degree,medium
SCEN_011,CASE_0006,MULTI_HOP_COORDINATION,Hidden 3-hop chain in NET_006 (PATTERN1_ABC_EVENT); PERSON_1190 is upstream coordinator.,PERSON_1190;PERSON_1170;PERSON_0266,Identify upstream coordinator via multi-hop temporal chain,high
SCEN_012,CASE_0006,INFLUENTIAL_PERSON,Role differentiation test in NET_006: coordinator vs broker vs innocent high-degree contact.,PERSON_1190;PERSON_1170;PERSON_0266,Distinguish influence roles beyond raw degree,medium
SCEN_013,CASE_0007,MULTI_HOP_COORDINATION,Hidden 4-hop chain in NET_007 (PATTERN3_CONVERGENT); PERSON_1499 is upstream coordinator.,PERSON_1499;PERSON_0037;PERSON_1449;PERSON_1303,Identify upstream coordinator via multi-hop temporal chain,high
SCEN_014,CASE_0007,INFLUENTIAL_PERSON,Role differentiation test in NET_007: coordinator vs broker vs innocent high-degree contact.,PERSON_1499;PERSON_0037;PERSON_1449;PERSON_1303,Distinguish influence roles beyond raw degree,medium
