location_id,city,area_alias,latitude,longitude,location_type
LOCATION_0001,Delhi,Delhi Sector-4,28.75698,77.25027,highway_segment
LOCATION_0002,Jaipur,Jaipur Sector-29,26.88636,75.81944,market_area
LOCATION_0003,Lucknow,Lucknow Sector-17,26.7486,80.81773,toll_plaza_zone
LOCATION_0004,Chandigarh,Chandigarh Sector-26,30.67424,76.85762,residential_zone
LOCATION_0005,Ahmedabad,Ahmedabad Sector-4,22.92944,72.57287,market_area
LOCATION_0006,Mumbai,Mumbai Sector-1,19.03028,72.87681,highway_segment
LOCATION_0007,Pune,Pune Sector-13,18.63513,73.97032,transit_hub
LOCATION_0008,Indore,Indore Sector-5,22.67421,75.98468,highway_segment
LOCATION_0009,Bhopal,Bhopal Sector-22,23.14071,77.54882,market_area
LOCATION_0010,Hyderabad,Hyderabad Sector-14,17.24136,78.53728,transit_hub
LOCATION_0011,Delhi,Delhi Sector-10,28.48054,77.17538,industrial_zone
LOCATION_0012,Jaipur,Jaipur Sector-31,26.9799,75.93705,residential_zone
LOCATION_0013,Lucknow,Lucknow Sector-22,26.99824,80.90048,market_area
LOCATION_0014,Chandigarh,Chandigarh Sector-14,30.7845,76.898,industrial_zone
LOCATION_0015,Ahmedabad,Ahmedabad Sector-29,22.87476,72.6137,industrial_zone
LOCATION_0016,Mumbai,Mumbai Sector-39,19.1097,72.77961,industrial_zone
LOCATION_0017,Pune,Pune Sector-19,18.64633,74.0029,residential_zone
LOCATION_0018,Indore,Indore Sector-12,22.86796,75.83043,market_area
LOCATION_0019,Bhopal,Bhopal Sector-16,23.36838,77.33974,residential_zone
LOCATION_0020,Hyderabad,Hyderabad Sector-40,17.53602,78.49904,transit_hub
LOCATION_0021,Delhi,Delhi Sector-11,28.49173,77.31796,transit_hub
LOCATION_0022,Jaipur,Jaipur Sector-18,26.76898,75.8728,toll_plaza_zone
LOCATION_0023,Lucknow,Lucknow Sector-27,26.87251,80.85122,commercial_zone
LOCATION_0024,Chandigarh,Chandigarh Sector-40,30.86986,76.78864,residential_zone
LOCATION_0025,Ahmedabad,Ahmedabad Sector-31,23.08122,72.55922,market_area
LOCATION_0026,Mumbai,Mumbai Sector-17,19.09698,72.96677,industrial_zone
LOCATION_0027,Pune,Pune Sector-17,18.52515,73.92615,highway_segment
LOCATION_0028,Indore,Indore Sector-24,22.71465,75.92273,toll_plaza_zone
LOCATION_0029,Bhopal,Bhopal Sector-15,23.38103,77.267,transit_hub
LOCATION_0030,Hyderabad,Hyderabad Sector-6,17.32496,78.38616,highway_segment
LOCATION_0031,Delhi,Delhi Sector-11,28.54449,77.16591,toll_plaza_zone
LOCATION_0032,Jaipur,Jaipur Sector-37,27.00676,75.87298,residential_zone
LOCATION_0033,Lucknow,Lucknow Sector-30,26.80526,81.03359,transit_hub
LOCATION_0034,Chandigarh,Chandigarh Sector-21,30.77999,76.70895,transit_hub
LOCATION_0035,Ahmedabad,Ahmedabad Sector-30,23.13333,72.63874,market_area
LOCATION_0036,Mumbai,Mumbai Sector-38,19.11989,72.9959,toll_plaza_zone
LOCATION_0037,Pune,Pune Sector-2,18.54437,73.73678,commercial_zone
LOCATION_0038,Indore,Indore Sector-18,22.57876,75.96228,industrial_zone
LOCATION_0039,Bhopal,Bhopal Sector-32,23.28345,77.34155,industrial_zone
LOCATION_0040,Hyderabad,Hyderabad Sector-25,17.35925,78.39685,transit_hub
LOCATION_0041,Delhi,Delhi Sector-37,28.51753,77.12363,commercial_zone
LOCATION_0042,Jaipur,Jaipur Sector-22,26.77125,75.71004,residential_zone
LOCATION_0043,Lucknow,Lucknow Sector-40,26.72319,81.02903,market_area
LOCATION_0044,Chandigarh,Chandigarh Sector-26,30.63834,76.65679,residential_zone
LOCATION_0045,Ahmedabad,Ahmedabad Sector-18,23.03367,72.65747,commercial_zone
