report_id,case_id,timestamp,subject_person_id,subject_organization_id,observation,source,reliability,confidence
INTEL_00001,,2025-08-11 05:33:06,PERSON_1476,ORG_0054,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,medium,0.66
INTEL_00002,CASE_0001,2025-08-12 15:49:23,PERSON_1459,ORG_0054,Unverified report suggests financial support is being routed through an intermediary.,FIELD_INTELLIGENCE_UNIT,low,0.49
INTEL_00003,CASE_0002,2025-01-02 04:45:26,PERSON_1104,ORG_0204,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,high,0.83
INTEL_00004,CASE_0002,2025-07-28 20:45:46,PERSON_0809,ORG_0204,Source with prior reliable reporting indicates increased contact frequency before an incident.,FIELD_INTELLIGENCE_UNIT,high,0.95
INTEL_00005,CASE_0003,2025-05-09 03:13:32,PERSON_0486,ORG_0028,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,low,0.35
INTEL_00006,CASE_0003,2025-05-15 06:07:39,PERSON_1232,ORG_0028,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,medium,0.51
INTEL_00007,CASE_0004,2026-04-18 09:00:27,PERSON_1060,ORG_0289,Source indicates the subject may be coordinating activities with an associate network.,FIELD_INTELLIGENCE_UNIT,medium,0.62
INTEL_00008,CASE_0004,2025-07-06 14:24:02,PERSON_0096,ORG_0289,Low-confidence tip regarding possible involvement in ongoing case activity.,FIELD_INTELLIGENCE_UNIT,low,0.39
INTEL_00009,CASE_0005,2026-02-26 04:13:35,PERSON_1008,ORG_0017,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.49
INTEL_00010,CASE_0005,2025-01-22 04:05:42,PERSON_1269,ORG_0017,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,low,0.4
INTEL_00011,CASE_0006,2025-11-15 21:04:51,PERSON_1190,ORG_0003,Field source reports subject was seen meeting with unidentified associates.,FIELD_INTELLIGENCE_UNIT,high,0.92
